"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 23 04:06:03 UTC 2026","Thu Jul 23 04:06:10 UTC 2026","7576","","NewTour Verification","","","","NewTour Login Successfully",""
"passed","Thu Jul 23 04:06:11 UTC 2026","Thu Jul 23 04:06:16 UTC 2026","5108","","NewTour Verification","","","","NewTour Login With Wrong Password",""
"passed","Thu Jul 23 04:05:58 UTC 2026","Thu Jul 23 04:06:02 UTC 2026","3470","","NewTour Verification","","","","NewTour Start application",""
"passed","Thu Jul 23 04:05:50 UTC 2026","Thu Jul 23 04:05:51 UTC 2026","461","","APITest","","","","Get all users",""
"passed","Thu Jul 23 04:05:51 UTC 2026","Thu Jul 23 04:05:52 UTC 2026","714","","APITest","","","","Get specific user",""
